,c2sf3cm,c2sf2cm,c3sf3cm,c3sf2cm,c4sf3cm,c4sf2cm,c1mf3cm,c1mf2cm,c2mf3cm,c2mf2cm,c3mf3cm,c3mf2cm,c4mf3cm,c4mf2cm,c1lf3cm,c1lf2cm,c2lf3cm,c2lf2cm
tum_x,0.025,0.025,-0.01,-0.01,-0.005,0.015,0.03,0.03,0.01,0.01,0.03,0.03,0.025,0,0.025,0.025,-0.035,-0.02
tum_y,-0.03,-0.03,-0.0375,-0.0375,0.0175,-0.03,-0.03,-0.03,-0.0375,-0.0375,-0.013,-0.013,-0.02,-0.04,-0.025,-0.025,0,0
tum_rad,0.015,0.01,0.015,0.01,0.015,0.01,0.015,0.01,0.015,0.01,0.015,0.01,0.015,0.01,0.015,0.01,0.015,0.01
adi_rad,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08
ant_rad,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
