423,438,660,82,90,93,95,96,240,241,127,128,129,130,131,132,133,134,135,916,917,918,919
0,0,0.0225,0,0,0,-0.0225,-0.015,-0.0225,0,0,0,0,0,0,0,0,0,0,-0.0075,-0.015,0.005,0.0075
0,0,-0.0175,0,-0.0075,-0.025,-0.03,-0.025,-0.0225,0,0,0,0,0,0,0,0,0,0,0.0175,0.02,0,0.0075
0,0,0.015,0,0.015,0.01,0.01,0.005,0.005,0,0,0,0,0,0,0,0,0,0,0.015,0.01,0.01,0.005
0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
